,NZ,N,Z,A,el,o,massexcess,uncmassex,binding,uncbind,B,beta,uncbeta,am_int,am_float,uncatmass
1598,30,81,51,132,Sb ,    ,-79635.271,2.467,8372.344,0.019,B-,5552.915,4.271,131,914508.015,2.648
1599,28,80,52,132,Te ,    ,-85188.186,3.486,8408.485,0.026,B-,515.304,3.483,131,908546.716,3.742
1600,26,79,53,132,I  ,    ,-85703.49,4.065,8406.462,0.031,B-,3575.472,4.065,131,907993.514,4.364
1601,24,78,54,132,Xe ,    ,-89278.96179,0.00515,8427.622,0.0,B-,-2126.28,1.036,131,904155.08697,0.00553
1602,22,77,55,132,Cs ,    ,-87152.681,1.036,8405.587,0.008,B-,1282.336,1.478,131,906437.743,1.112
1603,20,76,56,132,Ba ,    ,-88435.017,1.054,8409.375,0.008,B-,-4711.367,36.354,131,905061.098,1.131
1604,18,75,57,132,La ,    ,-83723.65,36.359,8367.756,0.275,B-,-1252.754,41.718,131,910118.959,39.032
1605,16,74,58,132,Ce ,    ,-82470.896,20.442,8352.338,0.155,B-,-7243.44,35.38,131,911463.846,21.945
1606,14,73,59,132,Pr ,   x,-75227.456,28.876,8291.537,0.219,B-,-3801.648,37.679,131,919240.0,31.0
1607,12,72,60,132,Nd ,   x,-71425.807,24.205,8256.81,0.183,B-,-9.798,0.151,131,923321.237,25.985
1608,10,71,61,132,Pm ,   x,-0.61628,0.00149,8.177,0.001,B-,-6.548,0.333,131,9.3384,0.0016
1609,8,70,62,132,Sm ,   x,-0.55079,0.00298,8.121,0.002,B-,-12.879,0.499,131,9.4087,0.0032
1610,6,69,63,132,Eu ,   x,-0.422,0.004,8.018,0.003,B-,0.0,0.0,131,9.54696,0.00429
1611,37,85,48,133,Cd ,   x,-0.4392,0.00298,8.119,0.002,B-,13.544,0.357,132,9.5285,0.0032
1612,35,84,49,133,In ,   x,-0.57464,0.00196,8.215,0.001,B-,13.41,0.196,132,9.3831,0.0021
1613,33,83,50,133,Sn ,    ,-70873.88,1.904,8310.088,0.014,B-,8049.623,3.662,132,923913.756,2.044
1614,31,82,51,133,Sb ,    ,-78923.503,3.128,8364.729,0.024,B-,4013.619,3.518,132,915272.13,3.357
1615,29,81,52,133,Te ,    ,-82937.122,2.066,8389.025,0.016,B-,2921.139,6.751,132,910963.332,2.218
1616,27,80,53,133,I  ,  ++,-85858.26,6.427,8405.106,0.048,B-,1785.311,6.861,132,907827.361,6.9
1617,25,79,54,133,Xe ,   +,-87643.571,2.4,8412.647,0.018,B-,427.36,2.4,132,905910.75,2.576
1618,23,78,55,133,Cs ,    ,-88070.931,0.008,8409.978,0.0,B-,-517.319,0.992,132,905451.961,0.008
1619,21,77,56,133,Ba ,    ,-87553.613,0.992,8400.206,0.007,B-,-2059.23,27.962,132,906007.325,1.065
1620,19,76,57,133,La ,   x,-85494.383,27.945,8378.841,0.21,B-,-3076.168,32.379,132,908218.0,30.0
1621,17,75,58,133,Ce ,   x,-82418.214,16.354,8349.829,0.123,B-,-4480.634,20.583,132,911520.402,17.557
1622,15,74,59,133,Pr ,   x,-77937.581,12.497,8310.258,0.094,B-,-5605.208,48.222,132,916330.561,13.416
1623,13,73,60,133,Nd ,   x,-72332.372,46.575,8262.231,0.35,B-,-6924.726,68.552,132,922348.0,50.0
1624,11,72,61,133,Pm ,   x,-65407.646,50.301,8204.283,0.378,B-,-8.177,0.302,132,929782.0,54.0
1625,9,71,62,133,Sm ,   x,-0.57231,0.00298,8.137,0.002,B-,-9.995,0.422,132,9.3856,0.0032
1626,7,70,63,133,Eu ,   x,-0.47236,0.00298,8.056,0.002,B-,-11.376,0.582,132,9.4929,0.0032
1627,5,69,64,133,Gd ,   x,-0.3586,0.005,7.964,0.004,B-,0.0,0.0,132,9.61503,0.00537
1628,38,86,48,134,Cd ,   x,-0.3892,0.004,8.082,0.003,B-,12.741,0.499,133,9.58218,0.00429
1629,36,85,49,134,In ,   x,-0.51661,0.00298,8.171,0.002,B-,14.773,0.298,133,9.4454,0.0032
1630,34,84,50,134,Sn ,   x,-66433.748,3.167,8275.171,0.024,B-,7586.794,3.597,133,928680.433,3.4
1631,32,83,51,134,Sb ,   x,-74020.542,1.705,8325.95,0.013,B-,8513.2,3.233,133,920535.675,1.83
1632,30,82,52,134,Te ,    ,-82533.741,2.746,8383.643,0.02,B-,1509.687,4.933,133,911396.379,2.948
1633,28,81,53,134,I  ,    ,-84043.429,4.857,8389.071,0.036,B-,4082.393,4.857,133,909775.663,5.213
1634,26,80,54,134,Xe ,    ,-88125.822,0.009,8413.699,0.0,B-,-1234.667,0.018,133,905393.033,0.01
1635,24,79,55,134,Cs ,    ,-86891.154,0.016,8398.646,0.0,B-,2058.699,0.304,133,906718.503,0.017
1636,22,78,56,134,Ba ,    ,-88949.853,0.304,8408.171,0.002,B-,-3731.204,19.932,133,904508.399,0.326
1637,20,77,57,134,La ,   x,-85218.65,19.93,8374.488,0.149,B-,-385.76,28.51,133,908514.011,21.395
1638,18,76,58,134,Ce ,   x,-84832.889,20.387,8365.771,0.152,B-,-6304.898,28.781,133,908928.142,21.886
1639,16,75,59,134,Pr ,   x,-78527.991,20.316,8312.881,0.152,B-,-2881.559,23.503,133,915696.729,21.81
1640,14,74,60,134,Nd ,   x,-75646.432,11.817,8285.538,0.088,B-,-8907.681,58.949,133,918790.21,12.686
1641,12,73,61,134,Pm ,   x,-66738.751,57.753,8213.225,0.431,B-,-5.363,0.204,133,928353.0,62.0
1642,10,72,62,134,Sm ,   x,-0.61376,0.00196,8.167,0.001,B-,-11.448,0.357,133,9.3411,0.0021
1643,8,71,63,134,Eu ,   x,-0.49928,0.00298,8.076,0.002,B-,-8.626,0.499,133,9.464,0.0032
1644,6,70,64,134,Gd ,   x,-0.41302,0.00401,8.006,0.003,B-,0.0,0.0,133,9.5566,0.0043
1645,37,86,49,135,In ,   x,-0.46528,0.00401,8.132,0.003,B-,14.104,0.401,134,9.5005,0.0043
1646,35,85,50,135,Sn ,   x,-60632.244,3.074,8230.687,0.023,B-,9058.079,4.052,134,934908.605,3.3
1647,33,84,51,135,Sb ,    ,-69690.323,2.64,8291.989,0.02,B-,8038.457,3.152,134,925184.357,2.834
1648,31,83,52,135,Te ,    ,-77728.78,1.722,8345.738,0.013,B-,6050.366,2.686,134,916554.718,1.848
1649,29,82,53,135,I  ,    ,-83779.145,2.061,8384.76,0.015,B-,2634.005,3.868,134,910059.382,2.212
1650,27,81,54,135,Xe ,    ,-86413.151,3.72,8398.476,0.028,B-,1168.492,3.675,134,907231.661,3.993
1651,25,80,55,135,Cs ,    ,-87581.643,0.992,8401.336,0.007,B-,268.855,1.038,134,905977.234,1.064
1652,23,79,56,135,Ba ,    ,-87850.498,0.306,8397.533,0.002,B-,-1207.181,9.43,134,905688.606,0.328
1653,21,78,57,135,La ,    ,-86643.317,9.434,8382.795,0.07,B-,-2027.146,4.61,134,906984.568,10.127
1654,19,77,58,135,Ce ,    ,-84616.171,10.267,8361.984,0.076,B-,-3680.31,15.655,134,909160.799,11.022
1655,17,76,59,135,Pr ,   x,-80935.861,11.817,8328.928,0.088,B-,-4722.252,22.484,134,913111.774,12.686
1656,15,75,60,135,Nd ,   x,-76213.609,19.128,8288.153,0.142,B-,-6161.534,77.838,134,918181.32,20.534
1657,13,74,61,135,Pm ,   x,-70052.075,75.451,8236.717,0.559,B-,-7194.86,172.054,134,924796.0,81.0
1658,11,73,62,135,Sm ,   x,-62857.215,154.628,8177.626,1.145,B-,-8.709,0.249,134,932520.0,166.0
1659,9,72,63,135,Eu ,   x,-0.54148,0.00196,8.107,0.001,B-,-9.757,0.445,134,9.4187,0.0021
1660,7,71,64,135,Gd ,   x,-0.4439,0.004,8.029,0.003,B-,-11.565,0.566,134,9.52345,0.00429
1661,5,70,65,135,Tb ,  -p,-0.32825,0.00401,7.938,0.003,B-,0.0,0.0,134,9.6476,0.0043
1662,38,87,49,136,In ,   x,-0.4051,0.004,8.087,0.003,B-,15.389,0.499,135,9.56511,0.00429
1663,36,86,50,136,Sn ,   x,-0.55899,0.00298,8.195,0.002,B-,8.608,0.298,135,9.3999,0.0032
1664,34,85,51,136,Sb ,    ,-64506.88,5.83,8252.252,0.043,B-,9918.389,6.26,135,930749.011,6.258
1665,32,84,52,136,Te ,    ,-74425.269,2.281,8319.429,0.017,B-,5119.945,14.188,135,920101.182,2.448
1666,30,83,53,136,I  ,    ,-79545.214,14.188,8351.323,0.104,B-,6883.945,14.188,135,914604.695,15.231
1667,28,82,54,136,Xe ,    ,-86429.159,0.007,8396.188,0.0,B-,-90.462,1.882,135,907214.476,0.007
1668,26,81,55,136,Cs ,   +,-86338.697,1.882,8389.77,0.014,B-,2548.224,1.857,135,907311.59,2.02
1669,24,80,56,136,Ba ,    ,-88886.921,0.306,8402.755,0.002,B-,-2849.443,53.172,135,904575.959,0.328
1670,22,79,57,136,La ,   x,-86037.479,53.171,8376.05,0.391,B-,470.893,53.173,135,907634.962,57.081
1671,20,78,58,136,Ce ,    ,-86508.372,0.408,8373.76,0.003,B-,-5168.017,11.457,135,907129.438,0.438
1672,18,77,59,136,Pr ,    ,-81340.355,11.455,8330.008,0.084,B-,-2141.068,16.458,135,912677.532,12.297
1673,16,76,60,136,Nd ,   x,-79199.287,11.817,8308.512,0.087,B-,-8029.371,70.076,135,914976.064,12.686
1674,14,75,61,136,Pm ,   x,-71169.915,69.073,8243.72,0.508,B-,-4359.026,70.194,135,923595.949,74.152
1675,12,74,62,136,Sm ,   x,-66810.89,12.497,8205.916,0.092,B-,-10.567,0.196,135,928275.555,13.416
1676,10,73,63,136,Eu ,   x,-0.56244,0.00196,8.122,0.001,B-,-7.154,0.357,135,9.3962,0.0021
1677,8,72,64,136,Gd ,   x,-0.4909,0.00298,8.064,0.002,B-,-12.96,0.582,135,9.473,0.0032
1678,6,71,65,136,Tb ,   x,-0.3613,0.005,7.963,0.004,B-,0.0,0.0,135,9.61213,0.00537
1679,39,88,49,137,In ,   x,-0.3504,0.005,8.047,0.004,B-,14.748,0.641,136,9.62383,0.00537
1680,37,87,50,137,Sn ,   x,-0.49788,0.00401,8.149,0.003,B-,10.272,0.404,136,9.4655,0.0043
1681,35,86,51,137,Sb ,   x,-60060.384,52.164,8218.476,0.381,B-,9243.369,52.206,136,935522.522,56.0
1682,33,85,52,137,Te ,    ,-69303.753,2.1,8280.235,0.015,B-,7052.506,8.643,136,925599.357,2.254
1683,31,84,53,137,I  ,p-2n,-76356.258,8.383,8326.002,0.061,B-,6027.145,8.384,136,918028.18,9.0
1684,29,83,54,137,Xe ,  -n,-82383.404,0.103,8364.286,0.001,B-,4162.203,0.373,136,911557.773,0.111
1685,27,82,55,137,Cs ,   +,-86545.606,0.358,8388.956,0.003,B-,1175.629,0.172,136,907089.464,0.384
1686,25,81,56,137,Ba ,    ,-87721.235,0.314,8391.827,0.002,B-,-580.547,1.632,136,905827.375,0.337
1687,23,80,57,137,La ,   +,-87140.688,1.659,8381.879,0.012,B-,-1222.1,1.6,136,906450.618,1.78
1688,21,79,58,137,Ce ,    ,-85918.588,0.437,8367.248,0.003,B-,-2716.895,8.133,136,907762.596,0.469
1689,19,78,59,137,Pr ,    ,-83201.693,8.137,8341.706,0.059,B-,-3617.126,14.282,136,910679.304,8.735
1690,17,77,60,137,Nd ,    ,-79584.567,11.737,8309.593,0.086,B-,-5511.719,17.545,136,914562.448,12.6
1691,15,76,61,137,Pm ,   x,-74072.848,13.041,8263.651,0.095,B-,-6046.323,44.355,136,920479.522,14.0
1692,13,75,62,137,Sm ,    ,-68026.525,42.395,8213.806,0.309,B-,-7880.63,42.62,136,926970.517,45.512
1693,11,74,63,137,Eu ,   x,-60145.895,4.378,8150.573,0.032,B-,-8.932,0.298,136,935430.722,4.7
1694,9,73,64,137,Gd ,   x,-0.51214,0.00298,8.08,0.002,B-,-10.246,0.499,136,9.4502,0.0032
1695,7,72,65,137,Tb ,   x,-0.40967,0.00401,7.999,0.003,B-,0.0,0.0,136,9.5602,0.0043
1696,38,88,50,138,Sn ,   x,-0.44861,0.00503,8.113,0.004,B-,9.36,1.177,137,9.5184,0.0054
1697,36,87,51,138,Sb ,   x,-54220.403,1064.232,8175.091,7.712,B-,11475.582,1064.239,137,941792.0,1142.5
1698,34,86,52,138,Te ,    ,-65695.985,3.787,8252.578,0.027,B-,6283.914,7.063,137,929472.454,4.065
1699,32,85,53,138,I  ,   x,-71979.9,5.962,8292.444,0.043,B-,7992.334,6.588,137,922726.394,6.4
1700,30,84,54,138,Xe ,    ,-79972.233,2.804,8344.69,0.02,B-,2914.704,9.579,137,914146.271,3.01
1701,28,83,55,138,Cs ,    ,-82886.937,9.159,8360.142,0.066,B-,5374.7,9.159,137,911017.207,9.832
1702,26,82,56,138,Ba ,    ,-88261.638,0.317,8393.42,0.002,B-,-1742.458,3.191,137,905247.229,0.339
1703,24,81,57,138,La ,    ,-86519.18,3.188,8375.125,0.023,B-,1051.742,4.038,137,907117.834,3.422
1704,22,80,58,138,Ce ,    ,-87570.922,4.931,8377.077,0.036,B-,-4437.0,10.0,137,905988.743,5.293
1705,20,79,59,138,Pr ,   -,-83133.922,11.15,8339.255,0.081,B-,-1115.612,16.09,137,910752.059,11.969
1706,18,78,60,138,Nd ,    ,-82018.31,11.601,8325.502,0.084,B-,-7077.827,28.756,137,911949.717,12.454
1707,16,77,61,138,Pm ,    ,-74940.483,27.739,8268.544,0.201,B-,-3442.721,30.151,137,919548.077,29.778
1708,14,76,62,138,Sm ,   x,-71497.762,11.817,8237.928,0.086,B-,-9748.093,30.341,137,923243.99,12.686
1709,12,75,63,138,Eu ,   x,-61749.669,27.945,8161.62,0.202,B-,-5.949,0.198,137,933709.0,30.0
1710,10,74,64,138,Gd ,   x,-0.558,0.00196,8.113,0.001,B-,-12.132,0.357,137,9.40096,0.0021
1711,8,73,65,138,Tb ,   x,-0.43668,0.00298,8.019,0.002,B-,-8.737,0.585,137,9.5312,0.0032
1712,6,72,66,138,Dy ,   x,-0.34931,0.00503,7.95,0.004,B-,0.0,0.0,137,9.625,0.0054
1713,39,89,50,139,Sn ,   x,-0.3844,0.005,8.066,0.004,B-,11.348,0.641,138,9.58733,0.00537
1714,37,88,51,139,Sb ,   x,-0.49788,0.00401,8.142,0.003,B-,10.417,0.401,138,9.4655,0.0043
1715,35,87,52,139,Te ,   x,-60205.072,3.54,8211.771,0.025,B-,8265.882,5.345,138,935367.193,3.8
1716,33,86,53,139,I  ,   x,-68470.954,4.005,8265.609,0.029,B-,7173.622,4.542,138,926493.403,4.3
1717,31,85,54,139,Xe ,   x,-75644.576,2.142,8311.59,0.015,B-,5056.346,3.801,138,918792.203,2.3
1718,29,84,55,139,Cs ,   +,-80700.921,3.14,8342.338,0.023,B-,4212.829,3.123,138,913363.992,3.37
1719,27,83,56,139,Ba ,    ,-84913.751,0.319,8367.017,0.002,B-,2312.461,2.013,138,908841.334,0.342
1720,25,82,57,139,La ,    ,-87226.212,2.009,8378.025,0.014,B-,-278.35,6.953,138,906358.804,2.156
1721,23,81,58,139,Ce ,    ,-86947.862,7.23,8370.395,0.052,B-,-2129.064,2.996,138,906657.625,7.761
1722,21,80,59,139,Pr ,    ,-84818.798,7.809,8349.449,0.056,B-,-2804.856,28.033,138,908943.27,8.383
1723,19,79,60,139,Nd ,    ,-82013.942,27.6,8323.642,0.199,B-,-4513.46,25.927,138,911954.407,29.63
1724,17,78,61,139,Pm ,    ,-77500.481,13.593,8285.543,0.098,B-,-5120.263,17.414,138,916799.806,14.592
1725,15,77,62,139,Sm ,   x,-72380.219,10.884,8243.078,0.078,B-,-6982.177,17.071,138,922296.634,11.684
1726,13,76,63,139,Eu ,   x,-65398.042,13.151,8187.218,0.095,B-,-7.767,0.196,138,929792.31,14.117
1727,11,75,64,139,Gd ,   x,-0.57632,0.00196,8.126,0.001,B-,-9.501,0.357,138,9.3813,0.0021
1728,9,74,65,139,Tb ,   x,-0.4813,0.00298,8.052,0.002,B-,-10.489,0.585,138,9.4833,0.0032
1729,7,73,66,139,Dy ,   x,-0.37642,0.00503,7.971,0.004,B-,0.0,0.0,138,9.5959,0.0054
1730,38,89,51,140,Sb ,   x,-0.43939,0.00596,8.1,0.004,B-,12.638,0.599,139,9.5283,0.0064
1731,36,88,52,140,Te ,   x,-56576.228,62.41,8184.847,0.446,B-,7029.985,63.574,139,939262.917,67.0
1732,34,87,53,140,I  ,   x,-63606.213,12.109,8229.473,0.086,B-,9380.238,12.331,139,931715.917,13.0
1733,32,86,54,140,Xe ,   x,-72986.451,2.329,8290.887,0.017,B-,4063.654,8.525,139,921645.817,2.5
1734,30,85,55,140,Cs ,    ,-77050.105,8.201,8314.325,0.059,B-,6219.249,9.882,139,917283.305,8.804
1735,28,84,56,140,Ba ,    ,-83269.354,7.933,8353.16,0.057,B-,1046.517,7.993,139,910606.666,8.516
1736,26,83,57,140,La ,    ,-84315.871,2.009,8355.047,0.014,B-,3760.218,1.727,139,909483.184,2.156
1737,24,82,58,140,Ce ,    ,-88076.089,1.596,8376.317,0.011,B-,-3388.0,6.0,139,905446.424,1.713
1738,22,81,59,140,Pr ,   -,-84688.089,6.209,8346.529,0.044,B-,-429.177,7.101,139,909083.592,6.665
1739,20,80,60,140,Nd ,   x,-84258.912,3.447,8337.875,0.025,B-,-6045.2,24.0,139,909544.332,3.7
1740,18,79,61,140,Pm ,   -,-78213.712,24.246,8289.107,0.173,B-,-2757.777,27.277,139,916034.122,26.029
1741,16,78,62,140,Sm ,   x,-75455.935,12.497,8263.82,0.089,B-,-8470.0,50.0,139,918994.717,13.416
1742,14,77,63,140,Eu ,   -,-66985.935,51.538,8197.732,0.368,B-,-5203.664,58.627,139,928087.637,55.328
1743,12,76,64,140,Gd ,   x,-61782.271,27.945,8154.975,0.2,B-,-11300.0,800.0,139,933674.0,30.0
1744,10,75,65,140,Tb ,   -,-50482.271,800.488,8068.672,5.718,B-,-7.652,0.895,139,945805.049,859.359
1745,8,74,66,140,Dy ,   x,-0.4283,0.00401,8.008,0.003,B-,-13.571,0.643,139,9.5402,0.0043
1746,6,73,67,140,Ho ,  -p,-0.29259,0.00503,7.906,0.004,B-,0.0,0.0,139,9.68589,0.0054
1747,39,90,51,141,Sb ,   x,-0.3911,0.005,8.066,0.004,B-,11.377,0.641,140,9.58014,0.00537
1748,37,89,52,141,Te ,   x,-0.50487,0.00401,8.141,0.003,B-,9.44,0.401,140,9.458,0.0043
1749,35,88,53,141,I  ,   x,-59926.657,15.835,8202.255,0.112,B-,8270.642,16.097,140,935666.084,17.0
1750,33,87,54,141,Xe ,   x,-68197.299,2.888,8255.364,0.02,B-,6280.224,9.638,140,926787.184,3.1
1751,31,86,55,141,Cs ,    ,-74477.523,9.195,8294.356,0.065,B-,5255.103,9.617,140,920045.086,9.871
1752,29,85,56,141,Ba ,    ,-79732.626,5.319,8326.078,0.038,B-,3199.01,6.6,140,914403.5,5.71
1753,27,84,57,141,La ,    ,-82931.636,4.219,8343.217,0.03,B-,2501.28,3.928,140,910969.222,4.528
1754,25,83,58,141,Ce ,    ,-85432.916,1.597,8355.408,0.011,B-,582.728,1.202,140,908283.987,1.714
1755,23,82,59,141,Pr ,    ,-86015.644,1.665,8353.992,0.012,B-,-1823.014,2.809,140,907658.403,1.787
1756,21,81,60,141,Nd ,   -,-84192.63,3.265,8335.515,0.023,B-,-3669.709,14.349,140,909615.488,3.505
1757,19,80,61,141,Pm ,   x,-80522.921,13.972,8303.94,0.099,B-,-4589.012,16.375,140,913555.084,15.0
1758,17,79,62,141,Sm ,    ,-75933.909,8.539,8265.845,0.061,B-,-6008.28,14.285,140,918481.591,9.167
1759,15,78,63,141,Eu ,    ,-69925.629,12.639,8217.684,0.09,B-,-6701.405,23.456,140,924931.745,13.568
1760,13,77,64,141,Gd ,   x,-63224.224,19.76,8164.608,0.14,B-,-8683.387,107.098,140,932126.0,21.213
1761,11,76,65,141,Tb ,   x,-54540.837,105.259,8097.475,0.747,B-,-9.158,0.316,140,941448.0,113.0
1762,9,75,66,141,Dy ,   x,-0.45382,0.00298,8.027,0.002,B-,-11.018,0.499,140,9.5128,0.0032
1763,7,74,67,141,Ho ,  -p,-0.34364,0.00401,7.943,0.003,B-,0.0,0.0,140,9.63108,0.0043
1764,38,90,52,142,Te ,   x,-0.4637,0.00503,8.111,0.004,B-,8.4,0.627,141,9.5022,0.0054
1765,36,89,53,142,I  ,   x,-54769.984,374.461,8165.019,2.637,B-,10459.655,374.47,141,941202.0,402.0
1766,34,88,54,142,Xe ,   x,-65229.639,2.701,8233.169,0.019,B-,5284.911,7.565,141,929973.098,2.9
1767,32,87,55,142,Cs ,    ,-70514.55,7.067,8264.877,0.05,B-,7327.714,8.363,141,924299.512,7.586
1768,30,86,56,142,Ba ,    ,-77842.264,5.92,8310.971,0.042,B-,2181.963,8.391,141,916432.888,6.355
1769,28,85,57,142,La ,    ,-80024.227,6.309,8320.828,0.044,B-,4508.961,5.845,141,914090.454,6.773
1770,26,84,58,142,Ce ,    ,-84533.188,2.509,8347.071,0.018,B-,-745.712,2.5,141,909249.884,2.693
1771,24,83,59,142,Pr ,    ,-83787.476,1.665,8336.31,0.012,B-,2162.505,1.416,141,910050.44,1.786
1772,22,82,60,142,Nd ,    ,-85949.98,1.368,8346.03,0.01,B-,-4807.936,23.629,141,907728.895,1.468
1773,20,81,61,142,Pm ,    ,-81142.044,23.597,8306.662,0.166,B-,-2155.574,23.752,141,912890.428,25.332
1774,18,80,62,142,Sm ,    ,-78986.47,3.079,8285.972,0.022,B-,-7673.0,30.0,141,915204.532,3.305
1775,16,79,63,142,Eu ,   -,-71313.47,30.158,8226.427,0.212,B-,-4353.955,41.114,141,923441.836,32.375
1776,14,78,64,142,Gd ,   x,-66959.515,27.945,8190.256,0.197,B-,-10400.0,700.0,141,928116.0,30.0
1777,12,77,65,142,Tb ,   -,-56559.515,700.558,8111.507,4.934,B-,-6.44,0.2,141,939280.859,752.079
1778,10,76,66,142,Dy ,   -,-0.5012,0.00729,8.061,0.005,B-,-12.869,0.831,141,9.46194,0.00782
1779,8,75,67,142,Ho ,   x,-0.3725,0.00401,7.965,0.003,B-,-9.221,0.641,141,9.6001,0.0043
1780,6,74,68,142,Er ,   x,-0.2803,0.005,7.894,0.004,B-,0.0,0.0,141,9.69909,0.00537
1781,39,91,52,143,Te ,   x,-0.40278,0.00503,8.068,0.004,B-,10.353,0.541,142,9.5676,0.0054
1782,37,90,53,143,I  ,   x,-0.5063,0.002,8.135,0.001,B-,9.572,0.2,142,9.45646,0.00215
1783,35,89,54,143,Xe ,   x,-60202.873,4.657,8196.885,0.033,B-,7472.636,8.891,142,935369.553,5.0
1784,33,88,55,143,Cs ,    ,-67675.509,7.573,8243.67,0.053,B-,6261.688,9.73,142,927347.348,8.13
1785,31,87,56,143,Ba ,    ,-73937.197,6.756,8281.987,0.047,B-,4234.318,9.969,142,920625.15,7.253
1786,29,86,57,143,La ,    ,-78171.515,7.33,8306.127,0.051,B-,3435.156,7.595,142,916079.422,7.869
1787,27,85,58,143,Ce ,    ,-81606.671,2.508,8324.678,0.018,B-,1461.575,1.866,142,912391.63,2.692
1788,25,84,59,143,Pr ,    ,-83068.246,1.897,8329.428,0.013,B-,933.988,1.368,142,910822.564,2.037
1789,23,83,60,143,Nd ,    ,-84002.234,1.367,8330.488,0.01,B-,-1041.583,2.682,142,909819.887,1.467
1790,21,82,61,143,Pm ,    ,-82960.651,2.996,8317.733,0.021,B-,-3443.499,3.56,142,910938.073,3.216
1791,19,81,62,143,Sm ,    ,-79517.152,2.804,8288.182,0.02,B-,-5275.851,11.338,142,914634.821,3.01
1792,17,80,63,143,Eu ,   x,-74241.3,10.986,8245.817,0.077,B-,-6010.0,200.0,142,920298.681,11.793
1793,15,79,64,143,Gd ,   -,-68231.3,200.301,8198.318,1.401,B-,-7812.117,206.75,142,926750.682,215.032
1794,13,78,65,143,Tb ,   x,-60419.183,51.232,8138.217,0.358,B-,-8250.242,52.866,142,935137.335,55.0
1795,11,77,66,143,Dy ,   x,-52168.941,13.041,8075.052,0.091,B-,-10.121,0.298,142,943994.335,14.0
1796,9,76,67,143,Ho ,   x,-0.42048,0.00298,7.999,0.002,B-,-10.788,0.499,142,9.5486,0.0032
1797,7,75,68,143,Er ,   x,-0.3126,0.004,7.918,0.003,B-,0.0,0.0,142,9.66441,0.00429
1798,38,91,53,144,I  ,   x,-0.4528,0.00401,8.098,0.003,B-,11.592,0.401,143,9.5139,0.0043
1799,36,90,54,144,Xe ,   x,-56872.293,5.31,8172.884,0.037,B-,6399.06,20.82,143,938945.079,5.7
1800,34,89,55,144,Cs ,    ,-63271.353,20.132,8211.889,0.14,B-,8495.768,20.416,143,932075.404,21.612
1801,32,88,56,144,Ba ,    ,-71767.121,7.136,8265.454,0.05,B-,3082.53,14.774,143,922954.821,7.661
1802,30,87,57,144,La ,   x,-74849.652,12.937,8281.428,0.09,B-,5582.219,13.254,143,919645.589,13.888
1803,28,86,58,144,Ce ,   +,-80431.87,2.885,8314.76,0.02,B-,318.646,0.832,143,913652.83,3.096
1804,26,85,59,144,Pr ,   +,-80750.517,2.762,8311.54,0.019,B-,2997.44,2.4,143,913310.75,2.965
1805,24,84,60,144,Nd ,    ,-83747.957,1.367,8326.922,0.009,B-,-2331.863,2.646,143,910092.865,1.467
1806,22,83,61,144,Pm ,    ,-81416.093,2.964,8305.296,0.021,B-,549.442,2.668,143,912596.224,3.181
1807,20,82,62,144,Sm ,    ,-81965.535,1.554,8303.679,0.011,B-,-6346.402,10.814,143,912006.373,1.668
1808,18,81,63,144,Eu ,    ,-75619.133,10.789,8254.173,0.075,B-,-3859.63,29.955,143,918819.517,11.582
1809,16,80,64,144,Gd ,   x,-71759.504,27.945,8221.937,0.194,B-,-9391.323,39.52,143,922963.0,30.0
1810,14,79,65,144,Tb ,   x,-62368.181,27.945,8151.287,0.194,B-,-5798.098,28.851,143,933045.0,30.0
1811,12,78,66,144,Dy ,   x,-56570.083,7.173,8105.589,0.05,B-,-11960.569,11.104,143,939269.514,7.7
1812,10,77,67,144,Ho ,   x,-44609.513,8.477,8017.097,0.059,B-,-8.002,0.196,143,952109.714,9.1
1813,8,76,68,144,Er ,   x,-0.36608,0.00196,7.956,0.001,B-,-14.349,0.445,143,9.607,0.0021
1814,6,75,69,144,Tm ,  -p,-0.22259,0.004,7.851,0.003,B-,0.0,0.0,143,9.76104,0.00429
1815,39,92,53,145,I  ,   x,-0.40939,0.00503,8.068,0.003,B-,10.554,0.503,144,9.5605,0.0054
1816,37,91,54,145,Xe ,   x,-51493.329,11.178,8135.087,0.077,B-,8561.086,14.393,144,944719.634,12.0
1817,35,90,55,145,Cs ,    ,-60054.415,9.067,8188.733,0.063,B-,7461.761,12.412,144,935528.93,9.733
1818,33,89,56,145,Ba ,   x,-67516.176,8.477,8234.798,0.058,B-,5319.141,14.912,144,927518.4,9.1
1819,31,88,57,145,La ,    ,-72835.317,12.269,8266.087,0.085,B-,4231.705,35.3,144,921808.066,13.17
1820,29,87,58,145,Ce ,    ,-77067.022,33.902,8289.875,0.234,B-,2558.918,33.635,144,917265.144,36.395
1821,27,86,59,145,Pr ,    ,-79625.94,7.169,8302.127,0.049,B-,1806.012,7.037,144,914518.033,7.696
1822,25,85,60,145,Nd ,    ,-81431.951,1.384,8309.187,0.01,B-,-164.478,2.536,144,912579.199,1.485
1823,23,84,61,145,Pm ,    ,-81267.474,2.859,8302.657,0.02,B-,-616.156,2.539,144,912755.773,3.068
1824,21,83,62,145,Sm ,    ,-80651.318,1.578,8293.013,0.011,B-,-2659.81,2.723,144,913417.244,1.694
1825,19,82,63,145,Eu ,    ,-77991.507,3.106,8269.274,0.021,B-,-5065.187,19.953,144,916272.668,3.334
