,NZ,N,Z,A,el,o,massexcess,uncmassex,binding,uncbind,B,beta,uncbeta,am_int,am_float,uncatmass
1146,24,64,40,104,Zr ,   x,-65724.06,9.325,8402.377,0.09,B-,6094.952,9.699,103,929442.315,10.011
1147,22,63,41,104,Nb ,   x,-71819.012,2.737,8453.459,0.026,B-,8530.957,9.311,103,922899.115,2.938
1148,20,62,42,104,Mo ,    ,-80349.968,8.921,8527.965,0.086,B-,2153.476,24.167,103,913740.756,9.576
1149,18,61,43,104,Tc ,    ,-82503.444,24.888,8541.149,0.239,B-,5592.266,24.939,103,911428.905,26.718
1150,16,60,44,104,Ru ,    ,-88095.71,2.498,8587.399,0.024,B-,-1136.362,3.364,103,905425.36,2.681
1151,14,59,45,104,Rh ,  -n,-86959.348,2.303,8568.949,0.022,B-,2435.758,2.66,103,906645.295,2.472
1152,12,58,46,104,Pd ,  +n,-89395.105,1.336,8584.848,0.013,B-,-4278.654,4.0,103,904030.401,1.434
1153,10,57,47,104,Ag ,   -,-85116.452,4.217,8536.184,0.041,B-,-1148.072,4.537,103,908623.725,4.527
1154,8,56,48,104,Cd ,    ,-83968.38,1.673,8517.622,0.016,B-,-7785.716,6.013,103,909856.23,1.795
1155,6,55,49,104,In ,   x,-76182.665,5.775,8435.237,0.056,B-,-4555.617,8.146,103,918214.54,6.2
1156,4,54,50,104,Sn ,    ,-71627.047,5.745,8383.911,0.055,B-,-12453.427,122.579,103,923105.197,6.167
1157,2,53,51,104,Sb ,  -p,-59173.62,122.444,8256.644,1.177,B-,0.0,0.0,103,936474.502,131.449
1158,29,67,38,105,Sr ,   x,-0.3861,0.00503,8.156,0.005,B-,12.66,1.428,104,9.5855,0.0054
1159,27,66,39,105,Y  ,   x,-51270.361,1336.694,8269.02,12.73,B-,10194.373,1336.749,104,944959.0,1435.0
1160,25,65,40,105,Zr ,   x,-61464.734,12.118,8358.659,0.115,B-,8450.817,12.77,104,934014.89,13.008
1161,23,64,41,105,Nb ,   x,-69915.551,4.028,8431.692,0.038,B-,7421.59,9.92,104,924942.564,4.324
1162,21,63,42,105,Mo ,    ,-77337.141,9.065,8494.923,0.086,B-,4952.947,35.031,104,916975.159,9.731
1163,19,62,43,105,Tc ,    ,-82290.088,35.264,8534.643,0.336,B-,3644.402,35.28,104,911657.952,37.857
1164,17,61,44,105,Ru ,    ,-85934.49,2.499,8561.9,0.024,B-,1916.752,2.851,104,907745.525,2.682
1165,15,60,45,105,Rh ,    ,-87851.243,2.502,8572.704,0.024,B-,566.646,2.346,104,905687.806,2.685
1166,13,59,46,105,Pd ,    ,-88417.888,1.138,8570.65,0.011,B-,-1347.052,4.67,104,905079.487,1.222
