Product;Yield;Error
Gd163;1.0022E-7;1.0465E-7
Gd164;8.5914E-8;8.6766E-8
Gd165;2.1817E-8;2.2376E-8
Gd166;8.4847E-9;8.7134E-9
Gd167;5.9843E-10;6.3815E-10
Gd168;8.4457E-11;8.9997E-11
Gd169;2.4667E-12;2.625E-12
Tb159;1.3658E-12;4.972E-13
Tb160;1.8517E-11;2.015E-11
Tb161;9.746E-11;3.6429E-11
Tb162;1.3232E-9;1.4451E-9
Tb163;7.7975E-9;8.3886E-9
Tb164;8.4628E-9;9.0783E-9
Tb165;2.0625E-8;2.1202E-8
Tb166;9.0521E-9;9.2726E-9
Tb167;6.1812E-9;6.2197E-9
Tb168;1.1183E-9;1.1625E-9
Tb169;3.7891E-10;3.9469E-10
Tb170;2.0E-11;2.1362E-11
Tb171;2.098E-12;2.2432E-12
Dy160;0.0;0.0
Dy161;0.0;0.0
Dy162;0.0;0.0
Dy163;6.4456E-12;6.9511E-12
Dy164;8.9411E-11;9.6501E-11
Dy165;2.7466E-10;2.9294E-10
Dy165m;4.1988E-11;4.4782E-11
Dy166;1.5253E-9;1.6144E-9
Dy167;1.2619E-9;1.3369E-9
Dy168;2.1401E-9;2.1683E-9
Dy169;8.2716E-10;8.3893E-10
Dy170;4.3928E-10;4.4266E-10
Dy171;6.1853E-11;6.4895E-11
Dy172;1.694E-11;1.7783E-11
Ho165;0.0;0.0
Ho166;6.7039E-13;7.1404E-13
Ho166m;1.5702E-12;1.6725E-12
Ho167;2.3033E-11;2.47E-11
Ho168;2.2561E-11;2.4058E-11
Ho168m;3.2014E-11;3.4137E-11
Ho169;2.2109E-10;2.324E-10
Ho170;9.6094E-11;1.0105E-10
Ho170m;4.1026E-11;4.3142E-11
Ho171;1.7956E-10;1.811E-10
Ho172;5.7579E-11;5.8534E-11
Ho173;2.6367E-11;2.6783E-11
Ho174;2.5281E-12;2.6858E-12
Er166;0.0;0.0
Er167;0.0;0.0
Er167m;0.0;0.0
Er168;0.0;0.0
Er169;0.0;0.0
Er170;5.6747E-12;6.0723E-12
Er171;9.9377E-12;1.06E-11
Er172;3.1952E-11;3.3154E-11
